ORDER ID,CUSTOMER ID,EMPLOYEE ID,ORDER DATE,PAYMENT METHOD,ORDER STATUS
O0490,C032,E008,17-10-2025,Debit Card,Cancelled
O0491,C084,E002,11-02-2025,UPI,Delivered
O0492,C049,E018,14-07-2025,Net Banking,Delivered
O0493,C002,E006,23-11-2025,UPI,Delivered
O0494,C083,E011,11-08-2025,Cash on Delivery,Returned
O0495,C068,E002,18-02-2025,Credit Card,Delivered
O0496,C073,E016,21-12-2025,Debit Card,Delivered
O0497,C088,E009,08-02-2025,Cash on Delivery,Shipped
O0498,C005,E006,03-12-2025,Debit Card,Delivered
O0499,C076,E005,17-04-2025,Net Banking,Delivered
O0500,C021,E019,03-06-2025,Credit Card,Shipped
